あ 0 0 16 22
い 16 0 16 22
う 32 0 16 22
え 48 0 16 22
お 64 0 16 22
か 0 22 16 22
き 16 22 16 22
く 32 22 16 22
け 48 22 16 22
こ 64 22 16 22
さ 0 44 16 22
し 16 44 16 22
す 32 44 16 22
せ 48 44 16 22
そ 64 44 16 22
た 0 66 16 22
ち 16 66 16 22
つ 32 66 16 22
て 48 66 16 22
と 64 66 16 22
な 0 88 16 22
に 16 88 16 22
ぬ 32 88 16 22
ね 48 88 16 22
の 64 88 16 22
は 0 110 16 22
ひ 16 110 16 22
ふ 32 110 16 22
へ 48 110 16 22
ほ 64 110 16 22
ま 0 132 16 22
み 16 132 16 22
む 32 132 16 22
め 48 132 16 22
も 64 132 16 22
や 0 154 16 22
ゆ 16 154 16 22
よ 32 154 16 22
わ 48 154 16 22
を 64 154 16 22
ら 0 176 16 22
り 16 176 16 22
る 32 176 16 22
れ 48 176 16 22
ろ 64 176 16 22
ん 0 198 16 22
ぃ 16 198 16 22
っ 32 198 16 22
ぇ 48 198 16 22
　 64 198 16 22
ゃ 0 220 16 22
ゅ 16 220 16 22
ょ 32 220 16 22
、 48 220 16 22
。 64 220 16 22
が 0 242 16 22
ぎ 16 242 16 22
ぐ 32 242 16 22
げ 48 242 16 22
ご 64 242 16 22
ざ 0 264 16 22
じ 16 264 16 22
ず 32 264 16 22
ぜ 48 264 16 22
ぞ 64 264 16 22
だ 0 286 16 22
ぢ 16 286 16 22
づ 32 286 16 22
で 48 286 16 22
ど 64 286 16 22
ば 0 308 16 22
び 16 308 16 22
ぶ 32 308 16 22
べ 48 308 16 22
ぼ 64 308 16 22
ぱ 0 330 16 22
ぴ 16 330 16 22
ぷ 32 330 16 22
ぺ 48 330 16 22
ぽ 64 330 16 22
ア 80 0 16 22
イ 96 0 16 22
ウ 112 0 16 22
エ 128 0 16 22
オ 144 0 16 22
カ 80 22 16 22
キ 96 22 16 22
ク 112 22 16 22
ケ 128 22 16 22
コ 144 22 16 22
サ 80 44 16 22
シ 96 44 16 22
ス 112 44 16 22
セ 128 44 16 22
ソ 144 44 16 22
タ 80 66 16 22
チ 96 66 16 22
ツ 112 66 16 22
テ 128 66 16 22
ト 144 66 16 22
ナ 80 88 16 22
ニ 96 88 16 22
ヌ 112 88 16 22
ネ 128 88 16 22
ノ 144 88 16 22
ハ 80 110 16 22
ヒ 96 110 16 22
フ 112 110 16 22
ヘ 128 110 16 22
ホ 144 110 16 22
マ 80 132 16 22
ミ 96 132 16 22
ム 112 132 16 22
メ 128 132 16 22
モ 144 132 16 22
ヤ 80 154 16 22
ユ 96 154 16 22
ヨ 112 154 16 22
ワ 128 154 16 22
ヲ 144 154 16 22
ラ 80 176 16 22
リ 96 176 16 22
ル 112 176 16 22
レ 128 176 16 22
ロ 144 176 16 22
ン 80 198 16 22
ィ 96 198 16 22
ッ 112 198 16 22
ェ 128 198 16 22
「 144 198 16 22
ャ 80 220 16 22
ュ 96 220 16 22
ョ 112 220 16 22
ー 128 220 16 22
」 144 220 16 22
ガ 80 242 16 22
ギ 96 242 16 22
グ 112 242 16 22
ゲ 128 242 16 22
ゴ 144 242 16 22
ザ 80 264 16 22
ジ 96 264 16 22
ズ 112 264 16 22
ゼ 128 264 16 22
ゾ 144 264 16 22
ダ 80 286 16 22
ヂ 96 286 16 22
ヅ 112 286 16 22
デ 128 286 16 22
ド 144 286 16 22
バ 80 308 16 22
ビ 96 308 16 22
ブ 112 308 16 22
ベ 128 308 16 22
ボ 144 308 16 22
パ 80 330 16 22
ピ 96 330 16 22
プ 112 330 16 22
ペ 128 330 16 22
ポ 144 330 16 22
０ 0 352 16 22
１ 16 352 16 22
２ 32 352 16 22
３ 48 352 16 22
４ 64 352 16 22
５ 80 352 16 22
６ 96 352 16 22
７ 112 352 16 22
８ 128 352 16 22
９ 144 352 16 22
Ａ 0 374 16 22
Ｂ 16 374 16 22
Ｃ 32 374 16 22
Ｄ 48 374 16 22
Ｅ 64 374 16 22
Ｆ 80 374 16 22
Ｇ 96 374 16 22
Ｈ 112 374 16 22
Ｉ 128 374 16 22
Ｊ 144 374 16 22
Ｋ 0 396 16 22
Ｌ 16 396 16 22
Ｍ 32 396 16 22
Ｎ 48 396 16 22
Ｏ 64 396 16 22
Ｐ 80 396 16 22
Ｑ 96 396 16 22
Ｒ 112 396 16 22
Ｓ 128 396 16 22
Ｔ 144 396 16 22
Ｕ 0 418 16 22
Ｖ 16 418 16 22
Ｗ 32 418 16 22
Ｘ 48 418 16 22
Ｙ 64 418 16 22
Ｚ 80 418 16 22
！ 96 418 16 22
？ 112 418 16 22
