0,none,0,0
1,darkness,1,0
2,sky,1,0
3,grass,1,0
4,flat,1,0
5,water,0,0
6,forest,1,0
7,hill,1,0
8,mountain,0,0
9,snow,1,0
10,desert,1,0
11,poison,1,0
12,magma,0,0
13,wood_floor,1,0
14,stone_floor,1,0
15,dungeon_floor,1,0
16,carpet,1,0
17,red_flower,1,0
18,blue_flower,1,0
19,wood_wall,0,0
20,stone_wall,0,0
21,dungeon_wall,0,0
22,bridge_h,1,0
23,bridge_v,1,0
24,castle1,1,1
25,castle2,1,1
26,castle3,1,1
27,castle4,1,1
28,town,1,1
29,shrine,1,1
30,dungeon,1,1
31,tower,1,1
32,pyramid,1,1
33,sign,0,1
34,inn,0,1
35,weapon,0,1
36,goods,0,1
37,bar,0,0
38,church,0,1
39,upstairs,1,1
40,downstairs,1,0
41,table,0,1
42,chair,1,1
43,bed,1,1
44,throne,1,1
45,door,0,0
46,treasure,1,1
47,pot,1,1
48,barrel,0,1
49,drawers,0,0
50,cargo,0,0
51,bookshelf,0,0
52,tomb,0,1
53,well,0,1
54,tree,0,0
